景点名称,美食评分,人均消费,地址,推荐菜,评价
陈麻婆豆腐(富力广场店),4.3,70,东华门街51号富力中心B座底商（成都体育中心对面）,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",历史悠久的川菜馆，随处彰显蜀地古韵。
闻酥园(青羊区人民中路店),4.7,23,人民中路三段37号附4号(近文殊院),"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",来成都必打卡的糕点铺，满满老成都味道
盘飧市(春熙路店),4.5,69,华兴街62-63号(近王府井),"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",始于1925年的腌卤店，堪称肉食天堂
赖汤圆(总府路店),4.2,24,书院街街道总府路23号附2号(春熙路太平洋百货对面),"醪糟汤圆	珍珠圆子	叶儿粑	凉粉	牛肉",主打汤圆的百年老店，各类小食滋味独特
陈麻婆豆腐(旗舰店),4.6,74,青华路10号附10-12号,"担担面	钟水饺	精品毛血旺	龙抄手	醪糟红烧肉	赖汤圆	水煮肉片	酸汤肥牛	川北凉粉	蒜泥白肉",陈麻婆豆腐色泽红亮，麻辣香酥，川味十足
顺兴老茶馆·精品川菜(世纪城店),4.4,149,世纪城路166号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",古朴建筑展川蜀风韵，品质川菜道道精妙
华兴街煎蛋面(总店),4.4,16,梓潼桥正街45号附6号(正成财富1楼),"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",拥有百余年历史的老店，各式面点口味地道
皇城老妈火锅(琴台店),4.3,157,草堂街道琴台路106号(七宝楼旁边),"白汤	金针菇	天麻豆腐	虾滑	鸭血	鹅肠	黄喉	鸭蹼	鸭舌	鳝鱼	牛肝菌	鲜毛肚	鸡肉	极佳级肥牛	雅鱼	雪花牛肉	老妈一品牛肉	鲜竹荪菌	黄喉?	老妈嫩鸡片	还是火锅	一品羊肉	老妈嫩牛肉	虾?滑?	一品牛肉	黄辣丁	兔腰	千层肚	鸳鸯锅",感觉真是超级棒 因为人太多在门口等候时有桌椅还准备了茶水和瓜子 态度很好 进来以后卫生也很好 ...
老码头火锅(玉林店),4.4,118,玉林中路29号(近倪家桥地铁站、玉林生活广场),"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",门头犹如皇宫般气派，传承川锅的味觉精髓。
甘记肥肠粉(马鞍北路店),4.4,21,马鞍北路18号(玉龙火锅旁),"当地口味	老字号	美食林风味	苍蝇馆子	拌仔肺	烧饼	冒节子	红味肺叶粉	拌心肺	素粉	拌肥肠	红油肥肠粉	酸辣肥肠粉	锅盔	火烧立志	红味仔肺粉	红味肥肠粉",谢霆锋曾光顾的苍蝇馆子，肥肠粉鲜香诱人
西月城谭豆花·小谭豆花(西大街店),4.6,19,西大街86附13号,"甜水面	豆花面	担担面	冰醉豆花",四代传承经典美味，冰醉豆花沁人心脾
皇城老妈(皇城店),4.5,171,二环路南三段20号(近紫荆电影院),"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",环境彰显老成都风韵，锅底诠释传统川味
百年双蓅老妈兔头(金丝街店),4.5,41,金丝街22号(文殊院旁),"香酥兔	夫妻肺片	冷吃兔	干锅鸭唇	鸡米芽	菜包豆干	花生苦瓜炒	蛋鸭头	肥肠豆花	特色鱼	千页豆腐",经营二十年的口碑老店，各式兔肉醇浓入味
九眼桥酒吧街,4.4,78,致民东路19号南河苑（近木子钵钵鸡）,"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",香辣螺丝，螺丝肉经过长时间的炖煮，完全吸收了麻辣汤汁，鲜美的滋味让人一颗接一颗。
明婷饭店(外曹家巷店),4.2,71,外曹家巷26号附16号,"青椒鱼片	白菜粉条	豆浆鸡蛋	凉拌鸡耙耙菜",超人气川菜馆子，以地道味好而口碑相传
蜀九香火锅(彩虹店),4.6,114,武侯祠大街19号春江花月耍都广场旁(近浆洗街),"九香肥牛	青笋卷	蜀九香排骨	香菜丸子香菜丸子	九香黄喉	九香丸子	九香麻辣牛肉	青笋片	千层肚	极品毛肚	精品黄喉	极品鹅肠	土豆粉",古色古香的川味火锅店，锅底馥郁喷香。
吴铭鲜货火锅(武侯祠店),3.2,94,四川省成都市武侯区武侯祠大街242号（武侯祠大庙会正对面）,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",香煎牛排，采用进口牛肉，煎制得外焦里嫩，撒上少许海盐，搭配一勺黑胡椒酱，让人直呼过瘾。
王妈手撕烤兔(玉林店),4.6,75,玉林横街6号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",玉林街上的美食名片之一，烤兔麻辣入味
李雪火锅食府(宽窄巷子总店),4.5,142,下同仁路72号(地铁四号线宽窄巷子B出口旁),"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",古香古色的火锅食府，多项殊荣印证美食品质
红星兔丁(武侯祠店),4.5,29,武侯祠大街180号附4号(近通祠街),"耳朵	耳片	红油兔丁	夫妻肺片	二姐兔丁	凤爪	兔腿	兔头	凉拌豆筋	泡椒鸡爪	猪拱嘴	凉拌耳丝	火鸡翅	兔丁拌笋子	整兔	凉拌笋丁	凉拌笋子	兔丁	拱嘴	拌耳片	猪皮	凉拌兔丁	千层肚	秘制牛筋	鲜牛毛肚	拌牛肉	凉拌牛肉",老牌兔肉店，传统烹制技法造就鲜麻口感
老号无名包子店,4.3,10,四川省成都市青羊区少城街道桂花巷63号附12-14号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
钟水饺(武侯店),4.2,28,四川省成都市武侯区武侯祠大街2号（教师公寓楼下）,"油茶	麻婆豆腐	银耳汤	汤圆	川北凉粉	冰粉	醉豆花	原汤水饺",水饺小巧而筋道，搭配特制的红油美味十足。
四方街酒吧,4,67,成都市武侯区锦里一条街(张飞牛肉对面),下午茶,四方桌前聊天喝酒，耳边传来舒缓的歌声，是文艺小资一族的聚集地。
小谭豆花(大墙东街店),4.5,22,大墙东街152号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",豆花料足味美，必点冰醉豆花。
新繁牛肉豆花(都江堰店),4.5,15,四川省成都市都江堰市杨柳河街67号,"豆腐脑	甜豆花	豆花儿	红油水饺	黑米粥	牛肉汤	红烧牛肉面	红油 抄手	牛肉米线	清汤抄手",杨柳河街上超高人气的小吃店，牛肉豆花、黑芝麻水饺和豆瓣抄手都是招牌必尝。
三大炮(锦里店),4.4,12,九品街10号,"担担面	糖油粑粑	菠萝饭	三大炮	菠萝蜜	驴打滚	唐宋一根面	菠萝肉	黄豆面	就这一个三大炮	就这三大炮	红糖糍粑	糯米圆子	糯米糍",主打传统小吃三大炮，纯手工打造软糯口感
巴蜀大宅门火锅(清江东路店),4.5,94,清江东路36号,"挂面鸭肠	草原极品毛肚	精品千层肚	功夫土豆	付氏冰粉	现炸酥肉	自制鲜虾滑	嫩牛肉	黄喉	鸭血",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
钟水饺(人民公园总店),4.3,37,少城路12号人民公园内紫薇阁,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",始于1893年的小吃店，钟水饺皮薄肉鲜
皇城坝小吃(武侯祠店),4.3,27,武侯祠大街259附5号,"夫妻肺片	川北凉粉	甜水面	特色牛肉甩面	风味锅贴	鸡丝豆汤饭	粉蒸排骨	红糖锅盔	担担面	红油抄手",汇集当地的风味小吃，木质桌椅展蜀地风韵。
宜宾何氏冷锅鱼(双栅子街店),3.9,62,四川省成都市锦江区双栅子街42-50号(市二医院地铁站A口步行190米),"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",锅底大火烧开，投入鱼头，活鱼表层的蛋白质迅速凝结，从而有效锁住水分和养分，口感更加鲜嫩
成都瓜串串(金房苑东路店),4.2,67,金房苑东路29号,"美食林风味	蔬菜	冒鸭血	泡椒牛肉	黄喉	郡肝	肥肠	莴笋叶子	脑花	毛肚	凉糕	兔腰	牛肉	鹌鹑蛋	藕片	凤尾	排骨	冰粉	掌中宝	土豆",红色系的古朴装修，百种菜品鲜香勾魂
星巴克(成都宽窄巷子店),4.4,37,宽窄巷子文化保护区窄巷子22号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",江南洋楼里的星巴克
三只耳冷锅鱼火锅(宽巷子店),4.2,151,宽巷子19号,"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",作为重庆、四川美食游的一部分，宽窄巷子必去！中间露天，有餐桌可以享用美食。宽窄巷子的三只耳必去
三只耳冷锅鱼火锅(倪家桥路店),4.5,98,倪家桥路10号附1号二楼、三楼(朱光玉火锅馆楼上),"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",创于1998年的鱼火锅店，食材新鲜优质
双流老妈兔头(总店),4.5,69,清泰路85号(近老车站),"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",名声在外的兔头店，鲜香入味麻辣过瘾
贺记蛋烘糕(文庙西街店),4.8,10,文庙西街1号附8号,"榴莲味	奶油味	炼乳老干妈	草莓酱	老干妈奶油	巧克力奶油",谢霆锋曾光顾此地，各式蛋烘糕香脆软糯
小名堂担担甜水面(东城根街店),4.6,21,东城根上街13号（达州宾馆楼下）,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",主打川蜀经典小吃，手工甜水面滋味香浓
雨田饭店(华兴东街店),3.3,48,红星路二段20号1层附9号,"干豇豆	回锅肉	炒腰花	冒小菜	烧鸭血	糖醋里脊	韭黄肉丝	苕皮回锅肉",具有当地特色的街边小馆，川食口味地道
老麻抄手(红瓦寺街店),4.7,8,武侯区红瓦寺街5-4号,"醪糟	海带汤	三两素椒牛肉面	辣鸡面	怪味抄手	清汤老麻抄手	暗暗	肥肠面	凉糕	抄手	素椒小面	中麻抄手	炒饭	清汤抄手	重庆小面	麻抄手	素椒杂酱面	酸辣粉	老麻抄手	杂酱面	微麻抄手	老麻小面	干锅鸡套餐	甜水面",老麻的话直接麻的说不出来话，鼻水都不争气的流出来，但是就是好吃，抄手皮薄肉多，印象很好
金熊猫餐厅(宽巷子店),4.3,132,宽巷子29号(近同仁路),"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",装修以天府文化为载体，匠心演绎川食秀场。
三国川剧变脸茶园·喝老成都盖碗茶,4.4,61,四川省成都市武侯区武侯祠大街231号锦里大门内左侧,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",古典雅致的茶楼，品一杯清茶，赏一段川剧。
巷子肥肠(科华巷店),4.7,39,科华巷2号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",酒香不怕巷子深的小店，卤肥肠非常入味
宽巷子3号,4.6,685,长顺上街宽窄巷子景区内,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",宽窄巷子内的定制私房菜
火锅摆在川西坝子(茶店子直营店),5,73,金牛区茶店子东街71号(近奥林体育馆),"爆米花	丸子	黄喉和猪天堂	鸡中翅	牛肉滑虾滑	千层肚	鸭肠	肥肠	鲜毛肚	嫩牛肉	脑花	毛肚	鹅肠	肥牛	小米辣干碟	红糖糍粑	鳝鱼	茼蒿菜	川西五花肉	腰片	排骨	鱼皮	酥肉	酸梅汤",香辣毛血旺，各种食材漂浮在红亮的汤底中，麻辣鲜香，每一口都让人酣畅淋漓。
星巴克(成都锦里店),4.5,36,祠大街231号,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",LG很高兴说：起来收拾收拾咱们请他两口子吃饭去?这天正好是小年儿，腊月二十三??
宣兔头农庄,4.3,42,四川省成都市金牛区土龙路1013号,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",但这就是成都有名的小吃，就是喜欢那种啃的感觉。很多人专门开私家车来品尝，周末人就更多了
麻辣空间·清油火锅(武侯祠店),4.6,85,通祠路39号一江城花2楼(近武侯祠),"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",主打川派清油火锅，纯正浓香口感清爽
都江堰市王鸡肉,5,30,四川省成都市都江堰市景环路,"野猪肉	美味豆腐	拌鸡肉	蒸南瓜	手掌鸡	蚕蛹	野鱼",这家凉拌鸡肉开了将近20年了，虽然越来越多各种各样有特色的凉拌鸡肉出来了，但是这家还是一直屹立不倒。说明味道确实不错，王…
钦善斋·养生膳食(武侯祠店),4.2,103,武侯祠大街247号(成都武侯祠博物馆西南80米处),"野菜锅摊	药膳	野菌圆子	丽珠香糟山药	凉拌茼蒿	钦膳脆角虾	钦善秘制排骨	乌鱼片	香豆腐	滋阴鸡杂凉面	汤锅	竹荪",用料考究的口碑药膳馆，庭院之内风景如画
梁记肥肠粉(宽窄巷子店),4.4,16,长顺上街116号3号院附1号（近宽窄巷子）,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",肥肠粉和锅魁是绝配，葱油饼也值得品尝
宫廷糕点铺,4.7,34,草市街街道酱园公所街56号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",有多年历史的糕点品牌，是成都的美食名片
滋味烤鱼(九眼桥店),4.3,75,一环路南一段2号好望角广场1136-1138号（一米阳光旁）,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
红杏酒家(明珠店),4.6,95,建设北路三段7号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",连当地人都赞不绝口的川菜馆，菜式丰富。
太安居(长顺店),4.2,99,四川省成都市青羊区长顺上街98号附6号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
伤心凉粉(洛带镇店),3.2,20,老街上街53号,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",洛带古镇内的名小吃
德克士(浆洗街店),4.4,23,浆洗街27号天亿大厦1楼,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
王妈手撕烤兔(青羊店),4.3,49,青羊东二路青羊小区综合市场内,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",好好吃 这次去成都 特意去的 这家真心的不好找啊 门口是单行线 车子开不过去 绕了好大一圈才找...
夫妻肺片(北站店),4,27,人民北路二段268号附5号(成都大酒店对面),"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
红杏酒家(锦苑店),4.6,99,中环路一品天下大街段13号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",经营二十余年的老店，菜品彰显川蜀精髓。
巴蜀大宅门火锅(新华公园店),4.6,86,双桥子街道新鸿南路75号(近新华公园后门),"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",性价比极高的超人气火锅店
蜀九香火锅(玉林店),4.4,111,倪家桥路11号附2号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
龙虾一绝(玉林店),3.7,141,四川省成都市玉林西路69号,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",...，但是十分入味，椒盐混合四川的麻辣，十分霸道，看着LED大屏幕和朋友把酒言欢，真是气愤很不错的
王记老幺肥肠粉,4.5,19,青羊北路10号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
德克士(茶店子客运站店),4.5,32,金泉街道西三环路五段289号（近西安观邸）,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",...会员在会员日还可以打折的，手枪鸡腿还是很好吃，德克士的魔法鸡块是最经典的，香脆可口，还带点甜味
重庆森林钵钵鸡(川大店),4.5,31,望江路郭家桥北街3号附6号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",深受食客赞誉的小店，各式小食地道美味
锦城印象火锅(彩虹店),4.7,162,武侯祠大街19号(近彩虹桥头),"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",环境充满古蜀风韵，底料均由手工炒制
三国义府火锅(武侯祠总店),4.2,115,武侯祠大街113号附1号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",环境彰显古蜀文化，设有现场川剧表演
星巴克(成都机场T2店),4.7,43,成都市双流区双流国际机场T2航站楼三楼出发大厅9号门H值机岛北侧,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",雅致环境简约时尚，各式饮品香浓可口。
徐妹·麻辣红油串串(春熙路一店),4.2,53,春熙路新街后巷子12号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",口味正宗，招牌南瓜粥好喝，环境干净优雅。
巴蜀大宅门火锅(北门大桥店),4.6,70,北大街91号(近四川书市),"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",质朴装修展古蜀风韵，醇浓锅底辣而不燥
三生香汤锅(浣花北路店),3.8,40,青羊区 浣花北路9号附40号,"肚子鸡	肚子	蹄花	猪肚	排骨	酥肉",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
he’s何师烧烤(科华激情店),4,73,科华北路143号蓝色加勒比广场内(近四川大学西门),"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",品种繁多，味道丰富，值得尝试。
音乐房子(玉林店),4.7,174,玉林南路15号玉林生活广场3层,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",成都音乐人的乌托邦，众多歌星曾在此驻唱。
无名冒菜(西二道街店),4.7,45,西二道街19号附1,"豆筋	豆芽	维怡豆奶	毛肚	土豆片	莲藕	小份素菜	牛肉	莴笋	金针菇	苕粉木耳	红锅底	骨肉相连",成都十大苍蝇馆子之一，深受食客喜爱
壹丁咖啡(宽窄巷子店),4.3,39,宽窄巷子宽巷子21号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
国土六扇门(浣花北路店),4.3,101,浣花北路8号附3号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",以特色江湖菜肴闻名，堪称喜辣者的天堂
蓉锦一号餐吧,4.4,79,青羊区 青羊上街送仙桥头,"水煮鱼	茶树菇	银鳕鱼	鹅肝	脆脆肚	野菜饼	核桃酥	辣子鸡","
蓉锦一号，非常不错的一家店。那是第二次去成都，著名的地儿基本以前都去过了。于是，重点就变成了吃"
郭水饺,2,27,四川省成都市都江堰市杨柳河街145~147室,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",静坐在美如江南的杨柳河街品尝着当地特色知名的郭水饺家小吃，从特色凉粉、到麻辣肺片，那种舌尖几乎...
华兴街自力面店,4.5,15,华兴东街63号(王府井百货),"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",创于1957年的老店，各类小吃调味独到
滋味烤鱼店(新城市店),4.8,65,青羊区西大街1号新城市广场地下停车场出口处(近八宝街),"烤黔鱼	泰香鸡	烤鱼	双脆干锅	梅子酒	培根薯条	啤酒兔	干锅排骨	麻辣味烤黔鱼	干锅鱿鱼	黑啤	红糖糍粑	烤虾	鱿鱼须	水果粥	排骨	鱿鱼	香辣黔鱼	英雄杯	香辣烤鱼	鲜榨橙汁	啤酒	双脆	薯条","...都妹纸带我们来到酒店附近的“滋味烤鱼”
环境挺不错，人气非常旺，据说帮我们占了一个多小时的位置"
